"prod_id","prod_brand","prod_name","prod_desc","prod_cost","prod_rating","rev_count","prod_url"
11,"Asus","ASUS Zenfone 6 16GB Dual SIM (Unlocked) A600CG 3G 6-inches Intel Z2580 2G RAM White - International Version No Warranty","None white None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None",228.00,4.10,51,"http://www.amazon.com/Zenfone-Unlocked-A600CG-6-inches-Intel/dp/B00LSP6SBG"
12,"Asus","Asus Zenfone 5 8GB Dual SIM (Unlocked) A501CG 3G 5&quot; Intel Z2560 1.6GHz Pearl White","None None None None None None None None None None None None None None None None None None None",184.00,-1.00,0,"http://www.amazon.com/Asus-Zenfone-Unlocked-A501CG-1-6GHz/dp/B00M7QXQYM"
13,"Asus","ASUS ZenFone 2 ZE500CL 4G LTE Single-SIM Factory Unlocked International Stock No Warranty (2GB RAM/16GB ROM | GLAMOR RED) - International Version No Warranty","None Glamor Red The Zenfone 2 comes with Single-SIM. Check with your carrier for network compatibility before purchase.",249.99,3.40,23,"http://www.amazon.com/ZenFone-ZE500CL-Single-SIM-International-16GB/dp/B00UT9JC60"
21,"Asus","ASUS AiGuru S2 Wireless-G Skype Phone w/Windows SideShow, Windows Media Player &amp; iTunes Support","Make Skype calls, receive email notifications, and control music playback with the ASUS AiGuru S2 Vista Sideshow Wireless Skype Phone!The ASUS AiGuru S2 Skype phone gives you the ease of use of a feature phone that lets you make Skype calls, check your email, or control music playback on iTunes or Windows Media Player. It also supports Windows SideShow. The AiGuru S2 features a 128 x 128 color display and features a USB interface for charging. Simply plug in the USB wireless adapter to your PC and enjoy full-function Skype support, iTunes/Windows Media Player playback, and Microsoft Windows SideShow support. Get yours today!Order now!",-1.00,1.80,25,"http://www.amazon.com/AiGuru-Wireless-G-Windows-SideShow-Support/dp/B001C36D8W"
14,"Asus","ASUS Zenfone 2 32GB 4G LTE Dual-Sim (Unlocked) 5.5in 13MP ZE551ML 2GB RAM NFC Red","In the Box Smartphone USB cable USB Charger (North America two parallel blades) Headset Manual Warranty Card Screen Protector Storage 32GB Weight and Dimension 170 g (with battery) 152.5 x 77.2 x 3.9 ~ 10.9 mm (LxHxW) Chips Intel® AtomTM Quad Core Z3560 (1.8GHz), PowerVR G6430, with OpenGL 3.0 support Network UMTS/WCDMA/FDD-LTE Data Rate: HSPA+: UL 5.76 / DL 42 Mbps DC-HSPA+: UL 5.76 / DL 42 Mbps LTE Cat4:UL 50 / DL 150 Mbps 2G :EDGE/GPRS/GSM : 850/900/1800/1900, 3G :WCDMA :850/900/1900/2100 4G :FDD-LTE: (TW)2100MHz(1)/1900MHz(2)/1800MHz(3)/1700MHz AWS(4)/850MHz(5)/900MHz(8)/700MHz(28) *Please check if the cellular network is can be used in your area. 3G/UMTS list - http://en.wikipedia.org/wiki/List_of_UMTS_networks 4G LTE list - http://en.wikipedia.org/wiki/List_of_LTE_networks Connectivity WLAN 802.11a/b/g/n/ac Bluetooth V4.0 NFC Display 5.5inches, full-HD (1080×1920 pixels) IPS display with pixel density of 403ppi and Corning Gorilla Glass 3 Camera Rear 13 Mega-Pixel, Fix Focus, PixelMaster, f/2.0 lens light sensitivity up to 4X, color contrast up to 2X (Resolution equivalent to52 MP!) Front 5 Mega-Pixel, f/2.0 lens, 85 degree wide angle lens Sim card Micro Sim Card Operating system OS Android 5.0 Lollipop with ZenUI on top Interface 1 x Micro USB (support OTG) 1 x MicroSD Card slot (up to 64 GB) 1 x 3.5mm Stereo Earjack 2 x Micro Sim slot Navigation GPS/GLONASS/QZSS/SBAS/BDS Memory 2GB LPDDR3 RAM Battery 3000 mAh Li-Polymer (non-removable) Sensor G-Sensor/E-Compass/Gyroscope/Proximity/Ambient Light Sensor Video Audio playback: MPEG4 up to 1080p Audio recording: MPEG4 up to 1080p @ 30fps, 720p @ 30fps Audio MP3/3GP/AAC",-1.00,3.50,2,"http://www.amazon.com/Zenfone-Dual-Sim-Unlocked-5-5in-ZE551ML/dp/B00V7ZBXB2"
15,"Asus","Unlocked Asus ZenFone Selfie ZD551KL 5.5&quot; 3GB/32GB 4G LTE - International Stock No Warranty (White)","None White None None Specification: None None Operating System: None None CPU: None None SIM Card Type: (This phone doesn't come with a sim card) None None Memory: None None Storage: None None Memory Slot: None None Connectivity: None None Network Standard: (Please check if the cellular network can be used in your area.) UMTS/WCDMA/TD-SCDMA/LTE/TDD-LTE/FDD-LTE 2G: EDGE/GPRS/GSM: 850MHz/900MHz/1800MHz/1900MHz 3G : WCDMA :850MHz/900MHz/1900MHz/2100MHz 4G : FDD-LTE: 2100MHz(1)/1900MHz(2)/1800MHz(3)/850MHz(5)/850MHz(6)/900MHz(8)/1800MHz(9)/800MHz(18)/850MHz(19)/700MHz(28) None None Navigation: None None Display: None None Battery: None",-1.00,-1.00,0,"http://www.amazon.com/Unlocked-Asus-ZenFone-Selfie-ZD551KL/dp/B014UT58NU"
16,"Asus","New ASUS Zenfone 6 16GB Dual SIM (Unlocked) A600CG 3G 6&quot; Intel Z2580 2G RAM Black - International Version No Warranty","None black None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None",233.00,4.10,51,"http://www.amazon.com/Zenfone-Unlocked-A600CG-Intel-Z2580/dp/B00KBL0Y2C"
17,"Asus","Asus Zenfone 5 8GB Dual SIM (Unlocked) A501CG 5&quot; Black - International Version No Warranty","None Black Zenfone 5 8GB Black",-1.00,4.00,100,"http://www.amazon.com/Asus-Zenfone-Unlocked-A501CG-Black/dp/B00OCA53FG"
18,"Asus","ASUS ZenFone Go ZC500TG 2GB/8GB 5-inch 3G Dual SIM Factory Unlocked BLACK - International Stock No Warranty","The Smooth Operator with Quad-Core Performance ZenFone Go's powerful MediaTek processor easily handles multiple tasks and delivers immersive gaming experiences. Stunning Display ZenFone Go is equipped with a high-resolution 1280 x 720 HD IPS display, sporting a pixel density of 294ppi for an impressive visual appearance with improved clarity, brightness and vivid colors. Gorgeous Photos with 8MP Clarity ZenFone Go's 8MP rear camera shoots beautiful, high-quality photos with a professional look. And as it's with you all the time, you'll capture every moment! Dual SIM, Dual Standby ZenFone Go features two SIM card slots in one device, allowing you to use a single device both your personal life and work. ZenFone Go's advanced antenna design provides fantastic performance, even in areas with poor signal - so you'll won't lose your call on the metro or in built-up areas. It's also obsessive about conserving power when searching for a signal, significantly increasing standby time. ASUS ZenUI A Simpler, Smarter, More Personalized ZenUI Experience Freedom, connection, and expression form the foundation for ASUS ZenUI, our sublime mobile user interface. An exquisite visual design with exciting new features - including ZenMotion, Trend MicroTM Dr. Safety and ZenUI Instant Updates - enhance usability, ensure security and privacy, and deliver a seamless user experience. *****Please check with your carrier for compatibility. We are not responsible for any incompatible issues.",159.00,1.00,1,"http://www.amazon.com/ZenFone-ZC500TG-5-inch-Factory-Unlocked/dp/B014CVYTRW"
19,"Asus","New Asus Zenfone 6 16GB Dual SIM (Unlocked) A601CG 3G 6&quot; Intel Z2580 2G RAM (White) - International Version No Warranty","None Color: 2G+16GB Basic Information Model Asus ZenFone 6 Band 2G: GSM 850/900/1800/1900MHz 3G: WCDMA 850/900/1900/2100MHz Sim Card Dual Micro SIM Card Dual Standby Service Provide Unlocked Style Bar Color White Shell Material Aluminum body System OS Android 4.3 CPU Intel Z2580 Dual Core 2.0GHz ROM 16GB RAM 2GB Screen Display Size 6.0 Inch Type IPS, capacitive screen Resolution 1280 x 720 pixels HD screen Support Format Ringtones Type Polyphonic/MP3 Audio File Format MP3/WAV/AMR/AWB Video File Format 3GP/MPEG4 Image File Format JPEG/BMP/GIF/PNG/GIF E-book Format TXT/CHM/DOC/HTML FM Radio Yes, earphone needed Earphone Port 3.5mm Card Extend Support TF card up to 64GB extended Data Transfer &amp; Connectivity Data transfer USB/Bluetooth Mobile internet WAP/WIFI General Camera/Picture Resolution Dual Cameras, 2.0MP front camera; 13.0MP back camera with flashlight and auto focus, etc Language Support Multilanguage, please see details in the picture Phonebook 500 Message SMS/MMS Input Handwrite/Keypad TV No GPS Yes, built in, also support A-GPS With EPO assistance to speed up postioning JAVA No WIFI Yes, 802.11 b/g/n Bluetooth Yes Gravity Sensor Yes Multi-Touch Yes Dimensions 166.9 x 84.3 x 9.9 mm Net Weight(Including battery) 196g Standby Time About 2~3 days Other Feature 3G, WIFI, GPS, FM, Bluetooth, Ebook, Email, Messaging, wallpapers, calendar, calculator, clock, camera, etc Package Accessories 1 x 3300mAh Battery (Built-in) 1 x USB Cable 1 x Charger 1 x User Manual",228.90,3.80,4,"http://www.amazon.com/Asus-Zenfone-Unlocked-A601CG-Intel/dp/B00Q9XI6JO"
